timestamp,sensor1
2018-05-23 11:17:04,1_13513
2018-05-23 11:17:05,1_13454
2018-05-23 11:17:05,1_13445
2018-05-23 11:17:05,1_13445
2018-05-23 11:17:06,1_13487
2018-05-23 11:17:06,1_13446
2018-05-23 11:17:07,1_13454
2018-05-23 11:17:07,1_13469
2018-05-23 11:17:07,1_13466
2018-05-23 11:17:08,1_13517
2018-05-23 11:17:08,1_13465
2018-05-23 11:17:09,1_13498
2018-05-23 11:17:09,1_13469
2018-05-23 11:17:10,1_13436
2018-05-23 11:17:10,1_13450
2018-05-23 11:17:10,1_13461
2018-05-23 11:17:11,1_13424
2018-05-23 11:17:11,1_13516
2018-05-23 11:17:12,1_13517
2018-05-23 11:17:12,1_13474
2018-05-23 11:17:13,1_13454
2018-05-23 11:17:13,1_13339
2018-05-23 11:17:13,1_13451
2018-05-23 11:17:14,1_13481
2018-05-23 11:17:14,1_13233
2018-05-23 11:17:15,1_13492
2018-05-23 11:17:15,1_13453
2018-05-23 11:17:15,1_13446
2018-05-23 11:17:16,1_13456
2018-05-23 11:17:16,1_13486
2018-05-23 11:17:17,1_13462
2018-05-23 11:17:17,1_13466
2018-05-23 11:17:17,1_13496
2018-05-23 11:17:18,1_13439
2018-05-23 11:17:18,1_13521
2018-05-23 11:17:19,1_13470
2018-05-23 11:17:19,1_13469
2018-05-23 11:17:20,1_13461
2018-05-23 11:17:20,1_13458
2018-05-23 11:17:20,1_13309
2018-05-23 11:17:21,
2018-05-23 11:17:21,1_13024
2018-05-23 11:17:22,1_13467
2018-05-23 11:17:22,1_13438
2018-05-23 11:17:22,1_13432
2018-05-23 11:17:23,1_13246
2018-05-23 11:17:23,1_13210
2018-05-23 11:17:24,1_13428
2018-05-23 11:17:24,1_13465
2018-05-23 11:17:24,1_13449
2018-05-23 11:17:25,1_13457
2018-05-23 11:17:25,1_13513
2018-05-23 11:17:26,1_13447
2018-05-23 11:17:26,1_13470
2018-05-23 11:17:27,1_13443
2018-05-23 11:17:27,1_13433
2018-05-23 11:17:27,1_13434
2018-05-23 11:17:28,1_13412
2018-05-23 11:17:28,1_13477
2018-05-23 11:17:29,1_13462
2018-05-23 11:17:29,1_13440
2018-05-23 11:17:30,1_13409
2018-05-23 11:17:30,1_13328
2018-05-23 11:17:30,1_13410
2018-05-23 11:17:31,1_13461
2018-05-23 11:17:31,1_13387
2018-05-23 11:17:32,1_13439
2018-05-23 11:17:32,1_13506
2018-05-23 11:17:32,1_13458
2018-05-23 11:17:33,1_13436
2018-05-23 11:17:33,1_13424
2018-05-23 11:17:34,1_13457
2018-05-23 11:17:34,1_13446
2018-05-23 11:17:34,1_13432
2018-05-23 11:17:35,1_13465
2018-05-23 11:17:35,1_13444
2018-05-23 11:17:36,1_13501
2018-05-23 11:17:36,1_13467
2018-05-23 11:17:36,1_13235
2018-05-23 11:17:37,1_13491
2018-05-23 11:17:37,1_13442
2018-05-23 11:17:38,1_13491
2018-05-23 11:17:38,1_13371
2018-05-23 11:17:39,1_13492
2018-05-23 11:17:39,1_13446
2018-05-23 11:17:39,1_13439
2018-05-23 11:17:40,1_13390
2018-05-23 11:17:40,1_13439
2018-05-23 11:17:41,1_13434
2018-05-23 11:17:41,1_13361
2018-05-23 11:17:42,1_13409
2018-05-23 11:17:42,1_13454
2018-05-23 11:17:42,1_13458
2018-05-23 11:17:43,1_13444
2018-05-23 11:17:43,1_13451
2018-05-23 11:17:44,1_13289
2018-05-23 11:17:44,1_13440
2018-05-23 11:17:44,1_13521
2018-05-23 11:17:45,1_13230
2018-05-23 11:17:45,1_13358
2018-05-23 11:17:46,1_13442
2018-05-23 11:17:46,1_13433
2018-05-23 11:17:47,1_13507
2018-05-23 11:17:47,1_13449
2018-05-23 11:17:47,1_13335
2018-05-23 11:17:48,1_13361
2018-05-23 11:17:48,1_13338
2018-05-23 11:17:49,1_13508
2018-05-23 11:17:49,1_13457
2018-05-23 11:17:49,1_13388
2018-05-23 11:17:50,1_13461
2018-05-23 11:17:50,1_13302
2018-05-23 11:17:51,1_13419
2018-05-23 11:17:51,1_13442
2018-05-23 11:17:52,1_13510
2018-05-23 11:17:52,
2018-05-23 11:17:52,1_13208
2018-05-23 11:17:53,1_13450
2018-05-23 11:17:53,1_13432
2018-05-23 11:17:54,1_13449
2018-05-23 11:17:54,1_13425
2018-05-23 11:17:54,1_13463
2018-05-23 11:17:55,1_13452
2018-05-23 11:17:55,1_13305
2018-05-23 11:17:56,1_13180
2018-05-23 11:17:56,1_13417
2018-05-23 11:17:56,1_13460
2018-05-23 11:17:57,1_13431
2018-05-23 11:17:57,1_13483
2018-05-23 11:17:58,1_13448
2018-05-23 11:17:58,1_13458
2018-05-23 11:17:59,1_13449
2018-05-23 11:17:59,1_13426
2018-05-23 11:17:59,1_13448
2018-05-23 11:18:00,1_13462
2018-05-23 11:18:00,1_13511
2018-05-23 11:18:01,1_13436
2018-05-23 11:18:01,1_13446
2018-05-23 11:18:01,1_13407
2018-05-23 11:18:02,1_13462
2018-05-23 11:18:02,1_13507
2018-05-23 11:18:03,1_13450
2018-05-23 11:18:03,1_13467
2018-05-23 11:18:04,1_13504
2018-05-23 11:18:04,1_13445
2018-05-23 11:18:04,1_13469
2018-05-23 11:18:05,1_13476
2018-05-23 11:18:05,1_13440
2018-05-23 11:18:06,1_13439
2018-05-23 11:18:06,1_13402
2018-05-23 11:18:06,1_13465
2018-05-23 11:18:07,1_13511
2018-05-23 11:18:07,1_13461
2018-05-23 11:18:08,1_13423
2018-05-23 11:18:08,1_13446
2018-05-23 11:18:09,1_13447
2018-05-23 11:18:09,1_13432
2018-05-23 11:18:09,1_13202
2018-05-23 11:18:10,1_13463
2018-05-23 11:18:10,1_13502
2018-05-23 11:18:11,1_13448
2018-05-23 11:18:11,1_13434
2018-05-23 11:18:11,1_13467
2018-05-23 11:18:12,1_13212
2018-05-23 11:18:12,1_13433
2018-05-23 11:18:13,1_13507
2018-05-23 11:18:13,1_13468
2018-05-23 11:18:14,1_13459
2018-05-23 11:18:14,1_13426
2018-05-23 11:18:14,1_13471
2018-05-23 11:18:15,1_13451
2018-05-23 11:18:15,1_13444
2018-05-23 11:18:16,1_13343
2018-05-23 11:18:16,1_13465
2018-05-23 11:18:17,1_13344
2018-05-23 11:18:17,1_13444
2018-05-23 11:18:17,1_13494
2018-05-23 11:18:18,1_13338
2018-05-23 11:18:18,1_13439
2018-05-23 11:18:19,1_13336
2018-05-23 11:18:19,1_13451
2018-05-23 11:18:19,1_13366
2018-05-23 11:18:20,1_13463
2018-05-23 11:18:20,1_13278
2018-05-23 11:18:21,1_13468
2018-05-23 11:18:21,1_13370
2018-05-23 11:18:22,1_13230
2018-05-23 11:18:22,1_13500
2018-05-23 11:18:22,1_13345
2018-05-23 11:18:23,1_13442
2018-05-23 11:18:23,1_13494
2018-05-23 11:18:24,1_13360
2018-05-23 11:18:24,1_13461
2018-05-23 11:18:25,1_13457
2018-05-23 11:18:25,1_13464
2018-05-23 11:18:25,1_13450
2018-05-23 11:18:26,1_13508
2018-05-23 11:18:26,1_13495
2018-05-23 11:18:27,1_13503
2018-05-23 11:18:27,1_13450
2018-05-23 11:18:27,1_13448
2018-05-23 11:18:28,1_13329
2018-05-23 11:18:28,1_13437
2018-05-23 11:18:29,1_13429
2018-05-23 11:18:29,1_13457
2018-05-23 11:18:30,1_13453
2018-05-23 11:18:30,1_13222
2018-05-23 11:18:30,1_13434
2018-05-23 11:18:31,1_13430
2018-05-23 11:18:31,1_13463
2018-05-23 11:18:32,1_13380
2018-05-23 11:18:32,1_13402
2018-05-23 11:18:32,1_13413
2018-05-23 11:18:33,1_13391
2018-05-23 11:18:33,1_13451
2018-05-23 11:18:34,1_13464
2018-05-23 11:18:34,1_13454
2018-05-23 11:18:35,1_13459
2018-05-23 11:18:35,1_13445
2018-05-23 11:18:35,1_13430
2018-05-23 11:18:36,1_13470
2018-05-23 11:18:36,1_13423
2018-05-23 11:18:37,1_13386
2018-05-23 11:18:37,1_13441
2018-05-23 11:18:37,1_13467
2018-05-23 11:18:38,1_13429
2018-05-23 11:18:38,1_13201
2018-05-23 11:18:39,1_13224
2018-05-23 11:18:39,1_13440
2018-05-23 11:18:40,1_13441
2018-05-23 11:18:40,1_13450
2018-05-23 11:18:40,1_13489
2018-05-23 11:18:41,1_13430
2018-05-23 11:18:41,1_13435
2018-05-23 11:18:42,1_13456
2018-05-23 11:18:42,1_13457
2018-05-23 11:18:42,1_13485
2018-05-23 11:18:43,1_13439
2018-05-23 11:18:43,1_13454
2018-05-23 11:18:44,1_13435
2018-05-23 11:18:44,1_13443
2018-05-23 11:18:44,1_13448
2018-05-23 11:18:45,1_13456
2018-05-23 11:18:45,1_13375
2018-05-23 11:18:46,1_13392
2018-05-23 11:18:46,1_13487
2018-05-23 11:18:47,1_13501
2018-05-23 11:18:47,1_13463
2018-05-23 11:18:47,1_13467
2018-05-23 11:18:48,1_13513
2018-05-23 11:18:48,1_13298
2018-05-23 11:18:49,1_13444
2018-05-23 11:18:49,1_13448
2018-05-23 11:18:50,1_13496
2018-05-23 11:18:50,1_13390
2018-05-23 11:18:50,1_13450
2018-05-23 11:18:51,1_13385
2018-05-23 11:18:51,1_13460
2018-05-23 11:18:52,1_13512
2018-05-23 11:18:52,1_13502
2018-05-23 11:18:53,1_13509
2018-05-23 11:18:53,1_13492
2018-05-23 11:18:53,1_13511
2018-05-23 11:18:54,1_13435
2018-05-23 11:18:54,1_13466
2018-05-23 11:18:55,1_13442
2018-05-23 11:18:55,1_13424
2018-05-23 11:18:56,1_13376
2018-05-23 11:18:56,1_13445
2018-05-23 11:18:56,1_13214
2018-05-23 11:18:57,1_13435
2018-05-23 11:18:57,1_13419
2018-05-23 11:18:58,1_13462
2018-05-23 11:18:58,1_13504
2018-05-23 11:18:59,1_13434
2018-05-23 11:18:59,1_13405
2018-05-23 11:18:59,1_13467
2018-05-23 11:19:00,1_13453
2018-05-23 11:19:00,1_13398
2018-05-23 11:19:01,1_13437
2018-05-23 11:19:01,1_13308
2018-05-23 11:19:01,1_13460
2018-05-23 11:19:02,1_13417
2018-05-23 11:19:02,1_13435
2018-05-23 11:19:03,1_13504
2018-05-23 11:19:03,1_13461
2018-05-23 11:19:03,1_13446
2018-05-23 11:19:04,1_13469
2018-05-23 11:19:04,1_13426
2018-05-23 11:19:05,1_13441
2018-05-23 11:19:05,1_13407
2018-05-23 11:19:06,1_13365
2018-05-23 11:19:06,1_13500
2018-05-23 11:19:06,1_13518
2018-05-23 11:19:07,1_13368
2018-05-23 11:19:07,1_13470
2018-05-23 11:19:08,1_13390
2018-05-23 11:19:08,1_13414
2018-05-23 11:19:09,1_13250
2018-05-23 11:19:09,1_13465
2018-05-23 11:19:09,1_13490
2018-05-23 11:19:10,1_13402
2018-05-23 11:19:10,1_13398
2018-05-23 11:19:11,1_13181
2018-05-23 11:19:11,1_13361
2018-05-23 11:19:11,1_13450
2018-05-23 11:19:12,1_13453
